Estimated genomic size	GC content	Phylum
2.660708595	44.13	Firmicutes
2.226489645	38.58	Firmicutes
3.430478201	36.98	Firmicutes
3.396699659	35.77	Firmicutes
2.637431232	40.51	Firmicutes
2.229739255	43.56	Firmicutes
4.122014373	49.55	Firmicutes
3.125927265	46.42	Firmicutes
2.490285898	43.17	Firmicutes
3.306416295	41.01	Firmicutes
2.264128698	36.23	Firmicutes
2.461905789	41.21	Firmicutes
3.378276531	37.06	Firmicutes
4.28336779	41.94	Firmicutes
2.935264595	39.08	Firmicutes
3.108887626	39.26	Firmicutes
2.838659949	39.25	Firmicutes
2.394675081	37.3	Firmicutes
2.636900844	38.77	Firmicutes
2.56900558	40.53	Firmicutes
2.923106816	34.5	Firmicutes
3.012659625	37.54	Firmicutes
2.927535567	39.21	Firmicutes
2.552912053	39.9	Firmicutes
2.529427151	41.93	Firmicutes
2.557940982	38.14	Firmicutes
